## TailSampling_Dropped_Too_Early
ラベル: instance=otel-collector:8888, job=otel-collector-self, otel_scope_name=github.com/open-telemetry/opentelemetry-collector-contrib/processor/tailsamplingprocessor
説明: Tail Sampling: num_traces上限超過による強制ドロップ累計
クエリ: increase(otelcol_processor_tail_sampling_sampling_trace_dropped_too_early_total{job="otel-collector-self"}[3m])
単位: count

時間, 値, フォーマット済み
------------------------------------------------------------
2026-03-23 14:41:04, 0, 0
2026-03-23 14:41:19, 0, 0
2026-03-23 14:41:34, 0, 0
2026-03-23 14:41:49, 0, 0
2026-03-23 14:42:04, 0, 0
2026-03-23 14:42:19, 0, 0
2026-03-23 14:42:34, 0, 0
2026-03-23 14:42:49, 0, 0
2026-03-23 14:43:04, 0, 0
2026-03-23 14:43:19, 0, 0
2026-03-23 14:43:34, 0, 0
2026-03-23 14:43:49, 0, 0
2026-03-23 14:44:04, 0, 0
2026-03-23 14:44:19, 0, 0
2026-03-23 14:44:34, 0, 0
2026-03-23 14:44:49, 0, 0
2026-03-23 14:45:04, 0, 0
2026-03-23 14:45:19, 0, 0
2026-03-23 14:45:34, 0, 0
2026-03-23 14:45:49, 0, 0
2026-03-23 14:46:04, 0, 0
2026-03-23 14:46:19, 0, 0
2026-03-23 14:46:34, 0, 0
2026-03-23 14:46:49, 0, 0
2026-03-23 14:47:04, 0, 0
2026-03-23 14:47:19, 0, 0
2026-03-23 14:47:34, 0, 0
2026-03-23 14:47:49, 0, 0
2026-03-23 14:48:04, 0, 0
2026-03-23 14:48:19, 0, 0
2026-03-23 14:48:34, 0, 0
2026-03-23 14:48:49, 0, 0
2026-03-23 14:49:04, 0, 0
2026-03-23 14:49:19, 0, 0
2026-03-23 14:49:34, 0, 0
2026-03-23 14:49:49, 0, 0
2026-03-23 14:50:04, 0, 0
2026-03-23 14:50:19, 0, 0
2026-03-23 14:50:34, 0, 0
2026-03-23 14:50:49, 0, 0
2026-03-23 14:51:04, 0, 0
2026-03-23 14:51:19, 0, 0
2026-03-23 14:51:34, 0, 0
2026-03-23 14:51:49, 0, 0
2026-03-23 14:52:04, 0, 0
2026-03-23 14:52:19, 0, 0
2026-03-23 14:52:34, 0, 0
